Folder,GT,TX Index,TX Angle,RX Index,RX Angle,Max SNR (dB)
sc_outdoor_jul2_gain9db_16m_0_gt1,1,53,-30.5,4,-40.6,39.46349790344023
sc_outdoor_jul2_gain9db_16m_1_gt2,2,50,-26.1,7,-36.3,41.069177241276776
sc_outdoor_jul2_gain9db_16m_2_gt3,3,45,-18.9,14,-26.1,41.74059742999342
sc_outdoor_jul2_gain9db_16m_3_gt4,4,39,-10.2,17,-21.8,40.67049615667997
sc_outdoor_jul2_gain9db_16m_4_gt5,5,33,-1.5,26,-8.7,41.54100230900089
sc_outdoor_jul2_gain9db_16m_5_gt6,6,27,7.3,30,-2.9,44.6200043459472
sc_outdoor_jul2_gain9db_16m_6_gt7,7,16,23.2,42,14.5,40.92513581541671
sc_outdoor_jul2_gain9db_16m_7_gt8,8,10,31.9,46,20.3,39.5312054792479
sc_outdoor_jul2_gain9db_16m_8_gt9,9,6,37.7,50,26.1,39.7207209108041
sc_outdoor_jul2_gain9db_16m_9_gt10,10,2,43.5,54,31.9,36.86492098839642
